검사일시,생산라인,온도,진동,회전수,압력
2026-08-24 22:00,B라인,0.5264,0.4691,0.4847,0.387
2026-08-25 16:00,B라인,0.5013,0.5091,0.537,0.4423
2026-08-24 22:00,C라인,0.9019,0.9964,0.9645,0.7115
2026-08-25 05:00,B라인,0.5602,0.4909,0.5355,0.4423
2026-08-26 07:00,B라인,0.6168,0.4582,0.535,0.4183
2026-08-26 15:00,A라인,0.0,0.0764,0.0175,0.0481
2026-08-24 22:00,A라인,0.0265,0.0873,0.0277,0.4063
2026-08-25 18:00,B라인,0.531,0.5164,0.4966,0.3774
2026-08-25 07:00,B라인,0.5021,0.4909,0.4668,0.3846
2026-08-24 07:00,C라인,0.9481,0.9055,0.9379,0.6827
2026-08-25 08:00,B라인,0.6187,0.5018,0.5037,0.3702
2026-08-26 10:00,C라인,0.9584,0.8982,0.9765,0.4063
2026-08-25 15:00,A라인,0.0354,0.1164,0.0571,0.0601
2026-08-25 09:00,B라인,0.5148,0.5007,0.5289,0.3942
2026-08-25 00:00,C라인,0.9188,0.9745,1.0,0.7139
2026-08-26 00:00,B라인,0.5283,0.5455,0.5235,0.4231
2026-08-25 02:00,C라인,0.8896,0.9782,0.9713,0.6971
2026-08-24 10:00,B라인,0.5995,0.4691,0.5087,0.3966
2026-08-24 09:00,C라인,0.9996,0.9782,0.9321,0.7115
2026-08-25 18:00,A라인,0.0873,0.12,0.0,0.0577
2026-08-25 04:00,B라인,0.5056,0.48,0.4993,0.4615
2026-08-25 14:00,A라인,0.1131,0.0727,0.0191,0.0913
2026-08-26 11:00,C라인,0.9257,0.9418,0.9522,0.6995
2026-08-24 17:00,B라인,0.5187,0.5636,0.5049,0.4471
2026-08-25 11:00,A라인,0.1131,0.0436,0.0618,0.0337
2026-08-24 21:00,B라인,0.5387,0.4873,0.5188,0.387
2026-08-24 20:00,A라인,0.0162,0.1018,0.0697,0.0553
2026-08-26 10:00,B라인,0.5183,0.4909,0.4794,0.3966
2026-08-25 22:00,C라인,0.8973,0.8727,0.9944,0.75
2026-08-26 02:00,C라인,0.8857,0.9273,0.9851,0.7452
2026-08-26 08:00,A라인,0.8095,0.0982,0.0688,0.0889
2026-08-26 08:00,B라인,0.5533,0.4873,0.5088,0.3798
2026-08-24 07:00,B라인,0.511,0.5636,0.5169,0.4159
2026-08-25 20:00,B라인,0.5033,0.4436,0.5042,0.4231
2026-08-26 04:00,A라인,0.02,0.0691,0.0275,0.0745
2026-08-26 12:00,B라인,0.5752,0.4655,0.5115,0.4423
2026-08-26 13:00,B라인,0.5363,0.5491,0.5023,0.4111
2026-08-26 06:00,B라인,0.5972,0.5673,0.5242,0.4135
2026-08-25 16:00,A라인,0.0631,0.0727,0.0058,0.0577
2026-08-24 07:00,A라인,0.087,0.0727,0.0571,0.0697
2026-08-24 18:00,B라인,0.5363,0.4545,0.525,0.4567
2026-08-25 08:00,C라인,0.9754,0.8873,0.9402,0.7139
2026-08-25 15:00,C라인,0.8903,0.9236,0.9675,0.762
2026-08-25 06:00,A라인,0.0704,0.1127,0.0267,0.0529
2026-08-24 11:00,A라인,0.0292,0.0436,0.0279,0.0962
2026-08-24 18:00,C라인,0.9419,0.9927,0.9331,0.7188
2026-08-25 06:00,C라인,0.9985,0.9745,0.9514,0.7332
2026-08-24 20:00,B라인,0.5998,0.4691,0.5242,0.4423
2026-08-26 09:00,C라인,0.895,0.9236,0.9588,0.7548
2026-08-26 10:00,A라인,0.0173,0.1273,0.0253,0.0216
2026-08-25 21:00,B라인,0.5814,0.4582,0.4769,0.3654
2026-08-26 13:00,C라인,0.885,0.9018,0.9406,0.7476
2026-08-26 15:00,C라인,1.0,0.9127,0.9634,0.6947
2026-08-24 09:00,B라인,0.5991,0.4582,0.4964,0.4351
2026-08-26 16:00,A라인,0.0416,0.04,0.0415,0.0817
2026-08-25 03:00,C라인,0.9,0.88,0.9925,0.6851
2026-08-26 02:00,B라인,0.5456,0.5382,0.5114,0.4327
2026-08-26 07:00,A라인,0.0689,0.0145,0.0466,0.0337
2026-08-24 23:00,C라인,0.965,0.9309,0.9753,0.7524
2026-08-26 17:00,B라인,0.6079,0.4909,0.484,0.4423
2026-08-25 01:00,A라인,0.0019,0.0873,0.0326,0.0529
2026-08-24 15:00,C라인,0.9796,0.9927,0.9761,0.774
2026-08-25 00:00,A라인,0.1097,0.1127,0.037,0.0096
2026-08-24 18:00,A라인,0.0616,0.0073,0.0687,0.0601
2026-08-24 06:00,C라인,0.9227,0.9564,0.9884,0.7692
2026-08-24 10:00,C라인,0.8873,0.8764,0.9372,0.738
2026-08-24 08:00,B라인,0.5444,0.5418,0.4893,0.3822
2026-08-24 14:00,C라인,0.9642,0.9345,0.9853,0.774
2026-08-25 13:00,B라인,0.5664,0.56,0.4743,0.3918
2026-08-26 15:00,B라인,0.5714,0.4582,0.5099,0.4111
2026-08-25 22:00,A라인,0.025,0.0291,0.0624,0.0072
2026-08-26 17:00,A라인,0.0227,0.1018,0.0566,0.0144
2026-08-25 04:00,A라인,0.0335,0.0109,0.0172,0.0649
2026-08-24 11:00,B라인,0.5898,0.48,0.5184,0.3822
2026-08-25 12:00,C라인,0.9123,0.9855,0.9404,1.0
2026-08-26 14:00,A라인,0.0458,0.0073,0.051,0.0409
2026-08-25 15:00,B라인,0.6102,0.5055,0.5307,0.4014
2026-08-25 14:00,B라인,0.5483,0.4509,0.5045,0.4375
2026-08-24 12:00,C라인,0.9508,0.9527,0.9482,0.7043
